kind,ebn0_db,n_bit_errors,n_bits,n_codewords,n_decode_failures,ber,elapsed_sec
coded,1.0,262,3568,2,2,0.0734304932735426,0.0
uncoded,1.0,112039,2000000,,,0.0560195,0.0
coded,2.0,255,5352,3,3,0.0476457399103139,0.0
uncoded,2.0,75045,2000000,,,0.0375225,0.0
coded,3.0,221,7136,4,4,0.030969730941704035,0.0
uncoded,3.0,45714,2000000,,,0.022857,0.0
coded,4.0,217,12488,7,7,0.017376681614349777,0.0
uncoded,4.0,25071,2000000,,,0.0125355,0.0
coded,4.5,210,16056,9,9,0.013079222720478326,0.0
uncoded,4.5,17573,2000000,,,0.0087865,0.0
coded,5.0,202,33896,19,11,0.00595940523955629,0.1
uncoded,5.0,11886,2000000,,,0.005943,0.0
coded,5.25,216,66008,37,13,0.0032723306265907163,0.2
uncoded,5.25,9715,2000000,,,0.0048575,0.0
coded,5.5,206,171264,96,12,0.001202821375186846,0.4
uncoded,5.5,7705,2000000,,,0.0038525,0.0
coded,5.75,219,916976,514,13,0.00023882849714714453,2.2
uncoded,5.75,6074,2000000,,,0.003037,0.0
coded,6.0,214,5630304,3156,14,3.8008604863964714e-05,13.2
uncoded,6.0,4793,2000000,,,0.0023965,0.0
coded,6.25,216,41879400,23475,14,5.157667015286752e-06,111.9
uncoded,6.25,3698,2000000,,,0.001849,0.0
coded,6.5,0,89200000,50000,0,0.0,211.5
uncoded,6.5,2824,2000000,,,0.001412,0.0
coded,7.0,0,89200000,50000,0,0.0,198.2
uncoded,7.0,1502,2000000,,,0.000751,0.0
coded,7.5,0,89200000,50000,0,0.0,191.3
uncoded,7.5,799,2000000,,,0.0003995,0.0
coded,8.0,0,89200000,50000,0,0.0,185.0
uncoded,8.0,368,2000000,,,0.000184,0.0
